schema,table,total_size
audit,user_activity_logs,24 kB
individual,individual_scenarios,16 kB
individual,individual_watchlist,16 kB
menu,system_health_checks,40 kB
platform_admin,user_dashboard_settings,32 kB
public,frs9_account_id,0 bytes
public,frs9_amort_journal_data,8192 bytes
public,frs9_default,0 bytes
public,frs9_ecl_model_mapping,0 bytes
public,frs9_eir_ecf,0 bytes
public,frs9_event_changes,0 bytes
public,frs9_imp_ca_account_event_prv,0 bytes
public,frs9_imp_ca_account_event,0 bytes
public,frs9_imp_ca_ead_config,0 bytes
public,frs9_imp_ca_ead_paym_avg,0 bytes
public,frs9_imp_ca_ead,0 bytes
public,frs9_imp_ca_ecl_configd,0 bytes
public,frs9_imp_ca_ecl_configh,0 bytes
public,frs9_imp_ca_ecl_detail,0 bytes
public,frs9_imp_ca_ecl_sum,0 bytes
public,frs9_imp_ca_ecl_ts,0 bytes
public,frs9_imp_ca_fl_scalard,0 bytes
public,frs9_imp_ca_fl_scalarh,0 bytes
public,frs9_imp_ca_lgd_coll_data,0 bytes
public,frs9_imp_ca_lgd_config,8192 bytes
public,frs9_imp_ca_lgd_data,0 bytes
public,frs9_imp_ca_lgd_d,0 bytes
public,frs9_imp_ca_lgd_h,0 bytes
public,frs9_imp_ca_lgd_rec_data,0 bytes
public,frs9_imp_ca_lgd_rec_d,0 bytes
public,frs9_imp_ca_lgd,0 bytes
public,frs9_imp_ca_pd_config,8192 bytes
public,frs9_imp_ca_pd_enr,0 bytes
public,frs9_imp_ca_pd_flowrate_avg,0 bytes
public,frs9_imp_ca_pd_flowrate,0 bytes
public,frs9_imp_ca_pd_migration,0 bytes
public,frs9_imp_ca_pd_mmult,0 bytes
public,frs9_imp_ca_pd_odr,0 bytes
public,frs9_imp_ca_pd_proxy,0 bytes
public,frs9_imp_ca_pd_structure,0 bytes
public,frs9_imp_ca_pd_ts,0 bytes
public,frs9_imp_ca_result_d_prv,0 bytes
public,frs9_imp_ca_result_d,0 bytes
public,frs9_imp_ca_result_h_prv,0 bytes
public,frs9_imp_ca_result_h,0 bytes
public,frs9_imp_ca_scenario_data,0 bytes
public,frs9_imp_ca_schd_hist,0 bytes
public,frs9_imp_ca_schd_prv,0 bytes
public,frs9_imp_ca_schd,0 bytes
public,frs9_imp_ca_segment_query,8192 bytes
public,frs9_imp_ia_dcf,0 bytes
public,frs9_imp_ia_detail,0 bytes
public,frs9_imp_ia_header,8192 bytes
public,frs9_imp_ia_result_d,0 bytes
public,frs9_imp_ia_result_h,0 bytes
public,frs9_imp_ia_rr,0 bytes
public,frs9_imp_journal_data,8192 bytes
public,frs9_imp_movement_data,0 bytes
public,frs9_imp_nominative,8192 bytes
public,frs9_master_account_repo,0 bytes
public,frs9_master_account_wo,0 bytes
public,frs9_master_account,8192 bytes
public,frs9_master_exchange_rate,0 bytes
public,frs9_master_transaction_cost,0 bytes
public,frs9_param_bucketd,0 bytes
public,frs9_param_bucketh,8192 bytes
public,frs9_param_commond,8192 bytes
public,frs9_param_commonh,8192 bytes
public,frs9_param_journal,8192 bytes
public,frs9_param_product,8192 bytes
public,frs9_param_scenario_rulesd,8192 bytes
public,frs9_param_scenario_rulesh,8192 bytes
public,frs9_param_segmentd,8192 bytes
public,frs9_param_segmenth,8192 bytes
public,frs9_prc_date,8192 bytes
public,frs9_r_model_summary,8192 bytes
public,frs9_statistic,8192 bytes
public,stg_frs9_master_account_bpf,8192 bytes
public,stg_master_loan,8192 bytes
public,stg_paym_schd,0 bytes
public,tblu_master_collateral,0 bytes
public,tblu_master_pd_proxy,0 bytes
public,tblu_paym_schd,0 bytes
public,tmp_fma_preview,8192 bytes
public,tmp_frs9_ecl_fma,8192 bytes
public,tmp_frs9_imp_ca_ead_paym_avg,0 bytes
public,tmp_frs9_imp_ca_lgd_rec_d,0 bytes
public,tmp_frs9_imp_ca_pd_data,0 bytes
public,tmp_frs9_imp_ca_pd_scn_curr,0 bytes
public,tmp_frs9_imp_ca_pd_scn_prev,0 bytes
public,tmp_frs9_imp_ca_pd_structure,0 bytes
public,tmp_frs9_imp_ca_result_ead,0 bytes
public,tmp_frs9_imp_ca_result_lgd,0 bytes
public,tmp_frs9_imp_ca_result_pd,0 bytes
public,tmp_frs9_master_account_prev,0 bytes
public,tmp_imp_ca_ead_curr,0 bytes
public,tmp_imp_ca_ead_prev,0 bytes
public,upload_history,0 bytes
workflow,steps,24 kB
workflow,transitions,24 kB
