schema,table,total_size,exact_rows,scans,writes,last_autoanalyze,last_analyze,last_autovacuum,last_vacuum
approval,approval_actions,80 kB,5,62,3,,,,
approval,approval_levels,64 kB,46,315,122,2026-02-16 15:20:48.642871+07,,,
approval,approval_matrices,112 kB,29,237,84,2026-02-15 01:17:27.780202+07,,,
approval,approval_requests,112 kB,4,224,6,,,,
approval,permission_approval_policies,160 kB,32,5386,92,2026-02-15 01:01:27.409486+07,,,
audit,audit_logs,384 kB,1111,26,743,2026-02-15 20:36:04.858673+07,,,
audit,data_change_history,40 kB,0,5,0,,,,
audit,user_activity_logs,48 kB,0,5,0,,,,
core,app_settings,96 kB,13,11,0,,,,
core,banking_products,96 kB,6,5,0,,,,
core,customers,48 kB,10,10,0,,,,
core,job_definitions,32 kB,9,465,41,,,,
core,job_executions,32 kB,7,2404,48,,,,
core,menu_categories,48 kB,9,0,0,,,,
core,menu_configurations,32 kB,1,0,0,,,,
core,menu_items,152 kB,51,0,0,,,,
core,permissions,208 kB,128,90631,939,2026-02-16 15:20:48.624905+07,,2026-02-15 00:55:27.00507+07,
core,portfolio_accounts,40 kB,5,17,0,,,,
core,role_menu_access,208 kB,244,502,0,,,,
core,role_permissions,152 kB,216,5458,554,2026-02-16 15:16:48.587027+07,,2026-02-15 01:01:27.376016+07,
core,roles,120 kB,13,4033,11,,,,
core,tenant_info,24 kB,1,5,1,,,,
core,user_roles,80 kB,9,2099,5,,,,
core,user_sessions,64 kB,0,6,0,,,,
core,users,176 kB,3,12375,620,2026-02-16 14:02:47.336377+07,,,
workflow,definitions,64 kB,4,6,0,,,,
workflow,instances,64 kB,3,5,0,,,,
workflow,tasks,64 kB,3,5,0,,,,
