Date;JCI;CPI;GDP_Y;FX_USD;FX_JPY;IKK;INFLATION;PPI;INTERBANK;HEALTH;TRANSPORTATION;SPORT;CF;SER;FBP;PC;FOOD;HOUSING;UNEMPLOYMENT;EXPORT;IMPORT;WC_RATES;INV_RATES;Retail_Sales;BI_RATE
31/01/2021;5862.35;105.95;-0.017067;14084;134.82035;84.854273;0.0155;103.070858;0.030396;0.0019;-0.003;0.0005;0.0011;0.0015;0.0033;0.0023;0.0081;0.0003;0.06395;15300.17;13329.9;0.0921;0.0883;181.967363;0.0375
28/02/2021;6241.8;106.06;-0.012233;14229.005;134.2929;85.824723;0.0138;103.156228;0.028014;0.0019;0.003;0.0006;0.0006;0.0036;0.0028;-0.0014;0.0007;0.0004;0.0626;15255.4;13264.97;0.0917;0.0877;177.125176;0.035
31/03/2021;5985.52;106.15;-0.0074;14572;131.66485;93.370638;0.0137;103.241599;0.027938;0.0008;-0.0025;0.0005;0.0002;0.001;0.0017;-0.0039;0.004;0.0004;0.062983;18398.41;16787.51;0.0906;0.0873;187.873829;0.035
30/04/2021;5995.62;106.29;0.018633;14468;132.7644;101.479021;0.0142;103.333941;0.027933;0.0018;0;0.002;0.0019;0.0026;0.0021;0.0029;0.002;0.0007;0.063367;18474.13;16204.34;0.0903;0.0868;220.406968;0.035
31/05/2021;5947.46;106.63;0.044667;14310;130.25085;104.432515;0.0168;103.426284;0.027939;0.0007;0.0071;0.0012;0.0052;0.0027;0.0044;0.0059;0.0038;0.0003;0.06375;16908.02;14234.82;0.0896;0.0864;227.512629;0.035
30/06/2021;6007.12;106.46;0.0707;14496;131.0551;107.358217;0.0133;103.518626;0.027999;0.0003;-0.0035;0.0023;-0.0012;0.0017;0.0024;0.0035;-0.0071;0.0007;0.064133;18547.74;17218.46;0.0896;0.087;198.498018;0.035
31/07/2021;6070.04;106.54;0.058833;14491.005;131.9404;80.197409;0.0152;103.60914;0.028157;0.0024;-0.0001;0.0005;0.0008;0.0011;0.0005;-0.0007;0.0015;0.0005;0.064517;19369.6;15217.82;0.0894;0.0863;188.482538;0.035
31/08/2021;6150.3;106.57;0.046967;14374;130.8691;77.313178;0.0159;103.699655;0.027879;0.0032;-0.0005;-0.0007;-0.0007;0.0027;0.001;0.0015;-0.0032;0.0005;0.0649;21443.15;16678.89;0.0887;0.0858;192.460203;0.035
30/09/2021;6286.94;106.53;0.0351;14307.005;128.51565;95.465344;0.016;103.790169;0.027951;0.0012;0.0007;0.0011;0.0027;0.002;0.0025;0.0004;-0.0047;0.0008;0.0638;20618.79;16234.15;0.0881;0.0854;189.49343;0.035
31/10/2021;6591.35;106.66;0.040133;14199.005;124.9693;113.385348;0.0166;103.931002;0.027974;0.0006;0.0033;0.0004;0.0015;0.0013;0.0012;0.0002;0.001;0.0008;0.0627;22090.98;16293.62;0.0875;0.0852;195.463697;0.035
30/11/2021;6533.93;107.05;0.045167;14340;126.53325;118.531632;0.0175;104.071835;0.027906;0.0001;0.0051;0.0018;0.0009;0.0035;0.0022;0.0037;0.0084;0.0014;0.0616;22845.36;19328.19;0.0872;0.0844;200.976009;0.035
31/12/2021;6581.48;107.66;0.0502;14269.005;123.8898;118.339751;0.0187;104.212669;0.027826;0.0016;0.0062;0.001;0.0022;0.0024;0.0024;0.0025;0.0161;0.001;0.0605;22357.72;21352.02;0.0859;0.0835;216.278017;0.035
31/01/2022;6631.15;108.26;0.050167;14381.005;124.47315;119.604422;0.0218;104.430254;0.027874;0.0024;0.0002;0.0041;0.0043;0.0079;0.0036;0.0062;0.0117;0.0051;0.0594;19173.7;18211.1;0.0866;0.0836;209.556328;0.035
28/02/2022;6888.17;108.24;0.050133;14371.005;125.33045;113.129737;0.0206;104.647838;0.027933;0.0033;0.0007;0.0034;0.0009;0.0045;0.0053;0.006;0.0084;0.0025;0.0583;20472.89;16638.51;0.0862;0.0838;200.031448;0.035
31/03/2022;7071.44;108.95;0.0501;14321.005;121.54475;110.991576;0.0264;104.865423;0.027897;0.0028;0.0042;0.0017;0.0017;0.005;0.0032;0.0114;0.0147;0.005;0.05835;26497.48;21962.42;0.0859;0.0832;205.322037;0.035
30/04/2022;7228.91;109.98;0.051533;14418;112.6803;113.067957;0.0347;104.988261;0.034944;0.0031;0.0242;0.002;-0.0001;0.0066;0.0055;0.0075;0.0176;0.0028;0.0584;27322.28;19757.45;0.0849;0.0829;239.244276;0.035
31/05/2022;7148.97;110.42;0.052967;14544;114.2454;128.937808;0.0355;105.1111;0.027906;0.0019;0.0065;0.003;-0.002;0.0043;0.0054;0.0032;0.0078;0.001;0.05845;21509.83;18609.29;0.0848;0.0825;234.125406;0.035
